,x,y,labels
0,33.26296,-1.5823166,5
1,68.91738,-37.907276,0
2,35.165165,85.53028,4
3,-63.11614,-46.886265,1
4,-14.394477,44.613987,9
5,-38.08866,-83.80243,2
6,-95.46526,14.484098,1
7,10.949184,-72.83154,3
8,-87.27404,18.77681,1
9,14.85025,41.201252,4
10,27.8603,-72.189125,3
11,22.155222,26.764223,5
12,29.877338,-44.09725,3
13,74.86805,37.849945,6
14,-102.08467,0.37151408,1
15,-35.11534,20.36707,7
16,-17.436382,-71.54035,2
17,-34.57385,-21.15229,8
18,57.444416,17.15249,6
19,-25.18471,24.344608,9
20,32.580578,93.62734,4
21,71.327896,-40.74973,0
22,-18.95156,30.455935,9
23,-63.103657,-46.77998,1
24,-77.55776,-17.76127,1
25,-26.16819,-48.37513,2
26,7.616037,66.75265,4
27,22.18999,-63.003075,3
28,-49.2081,11.960503,2
29,-30.741405,12.833675,7
30,36.587524,-41.157726,3
31,-39.956432,-18.949139,8
32,75.6315,53.920864,6
33,-26.145931,22.867403,9
34,55.239708,-32.94417,0
35,30.903444,21.591875,5
36,54.11075,27.86952,6
37,58.401794,-34.874718,0
38,-43.87295,55.451607,7
39,70.45446,41.63396,6
40,-65.84559,-2.7810395,1
41,-23.067764,-18.377417,8
42,-48.71285,45.154507,7
43,-25.019426,26.60132,9
44,6.141624,-43.07162,3
45,-17.878263,46.24005,9
46,-9.961384,-7.8513875,8
47,20.686401,11.4127445,5
48,6.213266,-37.277164,9
49,13.633078,-66.71739,3
50,37.42036,-61.497936,3
51,83.315445,-21.146559,0
52,-70.70106,49.555172,7
53,3.6507483,46.735462,4
54,-20.349857,46.841568,9
55,-27.736418,-3.6734996,8
56,85.51623,-10.047316,0
57,-16.976408,27.512568,9
58,15.830413,83.78579,4
59,-72.74479,-49.069767,1
60,38.787064,89.81748,4
61,7.1365094,39.739223,4
62,55.549366,24.133154,6
63,72.70737,-37.006844,0
64,39.607887,76.62446,4
65,22.226915,26.324783,5
66,58.012104,45.863014,6
67,-93.87426,-32.212982,1
68,99.263466,-10.675975,0
69,59.005714,-13.821396,0
70,-88.33909,-5.521685,1
71,-34.750774,20.551659,7
72,-96.93294,-10.810427,1
73,60.271,47.374905,6
74,14.005598,-48.47133,3
75,60.27646,-28.14874,0
76,-39.230934,-44.28971,2
77,-68.50323,-39.122135,1
78,-70.32408,-35.086197,1
79,-31.748238,13.438069,7
80,64.11521,-8.235866,9
81,60.607796,-26.20128,0
82,-11.22937,-74.1347,2
83,68.3517,34.047176,6
84,-56.83827,45.910114,7
85,-21.392773,-20.69034,8
86,28.99285,-37.42508,3
87,-8.911408,27.813501,9
88,84.58516,-6.9870076,0
89,27.788794,46.30699,4
90,68.00846,36.433674,6
91,-40.757416,22.07461,7
92,22.446901,81.99304,4
93,69.64509,39.47501,6
94,-24.246511,-11.453123,8
95,57.807926,-23.023878,0
96,-53.07016,35.414047,7
97,-28.372505,-12.655969,8
98,14.468955,-50.02098,3
99,-57.13849,-39.687603,1
100,13.641764,2.6451383,5
101,-76.14126,44.614937,7
102,-99.470055,-4.277839,1
103,-48.45299,29.459684,7
104,-103.43072,13.310193,1
105,-79.014534,-36.86111,1
106,64.541756,15.495317,6
107,26.416729,-80.99289,3
108,101.60411,-15.23523,0
109,-49.25374,-64.476654,2
110,-26.016619,83.79607,9
111,10.547782,-74.50232,3
112,-71.67472,-2.6392279,1
113,-78.87226,-42.42426,1
114,92.74657,-35.497627,0
